Generation,Individual,Instance,BaselineTime,BudgetPercentage,BudgetCalculated,TotalCalls,TotalTimeUsed,BudgetUtilization,AvgTimePerCall,MaxTimePerCall,MinTimePerCall
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-02.txt,154.245,1.000,154.245,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-02.txt,154.245,1.000,154.245,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1807271027{-1595979822},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1671960213{-1652094415},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1450786667{-1404836952},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1597103589{517534863},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1597103589{517534863},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_50-02.txt,61.404,1.000,61.404,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_50-03.txt,30.993,1.000,30.993,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_66-01.txt,7.322,1.000,7.322,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_66-02.txt,154.245,1.000,154.245,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_66-03.txt,118.340,1.000,118.340,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_80-01.txt,4.194,1.000,4.194,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_80-02.txt,35.738,1.000,35.738,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@508187763{620524079},3C_20_80-03.txt,169.439,1.000,169.439,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_50-02.txt,61.404,1.000,61.404,2,0.172,0.28,0.086,0.172,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_50-03.txt,30.993,1.000,30.993,2,2.656,8.57,1.328,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-01.txt,4.194,1.000,4.194,1,2.656,63.33,2.656,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-01.txt,4.194,1.000,4.194,1,0.641,15.27,0.641,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-02.txt,35.738,1.000,35.738,1,0.547,1.53,0.547,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-02.txt,35.738,1.000,35.738,1,1.938,5.42,1.938,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_66-01.txt,7.322,1.000,7.322,2,0.438,5.97,0.219,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_66-02.txt,154.245,1.000,154.245,2,0.875,0.57,0.438,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-03.txt,169.439,1.000,169.439,2,1.391,0.82,0.695,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_80-03.txt,169.439,1.000,169.439,1,1.109,0.65,1.109,2.656,0.000
0,ec.gp.GPIndividual@1804750638{-721337523},3C_20_66-03.txt,118.340,1.000,118.340,2,2.813,2.38,1.406,2.813,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_50-03.txt,30.993,1.000,30.993,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_66-01.txt,7.322,1.000,7.322,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_66-02.txt,154.245,1.000,154.245,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_66-03.txt,118.340,1.000,118.340,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_80-01.txt,4.194,1.000,4.194,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_80-02.txt,35.738,1.000,35.738,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@172076688{1567861896},3C_20_80-03.txt,169.439,1.000,169.439,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@901479130{-1357722111},3C_20_50-02.txt,61.404,1.000,61.404,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@901479130{-1357722111},3C_20_50-03.txt,30.993,1.000,30.993,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@901479130{-1357722111},3C_20_66-01.txt,7.322,1.000,7.322,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@901479130{-1357722111},3C_20_66-02.txt,154.245,1.000,154.245,1,0.000,0.00,0.000,0.000,0.000
