GENERACIÓN;EVOLUCIÓN 0;EVOLUCIÓN 1;EVOLUCIÓN 2;EVOLUCIÓN 3;EVOLUCIÓN 4;EVOLUCIÓN 5;EVOLUCIÓN 6;EVOLUCIÓN 7;EVOLUCIÓN 8;EVOLUCIÓN 9;EVOLUCIÓN 10;EVOLUCIÓN 11;EVOLUCIÓN 12;EVOLUCIÓN 13;EVOLUCIÓN 14;EVOLUCIÓN 15;EVOLUCIÓN 16;EVOLUCIÓN 17;EVOLUCIÓN 18;EVOLUCIÓN 19;EVOLUCIÓN 20;EVOLUCIÓN 21;EVOLUCIÓN 22;EVOLUCIÓN 23;EVOLUCIÓN 24;EVOLUCIÓN 25;EVOLUCIÓN 26;EVOLUCIÓN 27;EVOLUCIÓN 28;EVOLUCIÓN 29;EVOLUCIÓN 30;EVOLUCIÓN 31;EVOLUCIÓN 32;EVOLUCIÓN 33;EVOLUCIÓN 34
0;0,3175761;0,5384277;0,3712356;0,5486045;0,3942799;0,3012634;0,2952558;0,4238183;0,3872114;0,4273422;0,3247616;0,3507816;0,3169414;0,5041249;0,6075422;0,7700979;0,5561142;0,6075422;0,4273422;0,3062343;0,320014;0,3352389;0,3214069;0,5475838;0,7970738;0,6017399;0,6654804;0,4314552;0,4266958;0,3194721;0,3051831;0,5561142;0,3176046;0,5851737;0,3259927
1;0,3175761;0,4218587;0,3712356;0,3141163;0,3942799;0,2978671;0,2952558;0,3979947;0,3872114;0,4273422;0,3162813;0,3507816;0,3169414;0,5041249;0,4273422;0,5933824;0,4948313;0,3395467;0,3574014;0,3062343;0,320014;0,3303065;0,2414365;0,3062343;0,7852206;0,6017399;0,2975118;0,3655229;0,4193548;0,3194721;0,3051831;0,3224615;0,3176046;0,5422111;0,3259927
2;0,3048115;0,3347087;0,2953143;0,2908532;0,3942799;0,2978671;0,2952558;0,3452248;0,2867587;0,4273422;0,2874754;0,3450874;0,3169414;0,4224853;0,4273422;0,3701484;0,3311524;0,3255906;0,2465572;0,3062343;0,320014;0,291141;0,2414365;0,2953143;0,601715;0,3062343;0,2975118;0,2920205;0,4193548;0,3194721;0,3051831;0,3224615;0,3176046;0,5422111;0,2959175
3;0,3048115;0,3347087;0,2953143;0,2801346;0,3230672;0,2755339;0,2952558;0,3021267;0,2867587;0,2953143;0,2874754;0,2937912;0,3152743;0,3996696;0,3062343;0,3701484;0,3062343;0,2997954;0,2465572;0,3062343;0,2953143;0,291141;0,2414365;0,2920205;0,601715;0,2920205;0,2975118;0,2682993;0,4193548;0,3177056;0,3051831;0,3224615;0,3176046;0,5422111;0,2855525
4;0,3048115;0,2974546;0,2953143;0,2414403;0,3134382;0,2755339;0,2628516;0,2819918;0,2867587;0,2953143;0,2874754;0,2937912;0,2936173;0,3996696;0,3062343;0,3263395;0,3062343;0,2997954;0,2184949;0,3062343;0,2953143;0,2853483;0,2414365;0,2920205;0,5004204;0,2920205;0,2975118;0,2682993;0,2492892;0,2956199;0,2957049;0,2952653;0,3176046;0,3730652;0,2757823
5;0,3048115;0,2963037;0,2835937;0,2414403;0,3076119;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2937912;0,2771906;0,3934759;0,3062343;0,3263395;0,2953143;0,2674466;0,1956419;0,3062343;0,2953143;0,2853483;0,2414365;0,2920205;0,5004204;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2607217;0,2952653;0,3141163;0,3680937;0,2757823
6;0,3048115;0,2963037;0,2835021;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2937912;0,2771906;0,3934759;0,2953143;0,3263395;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2920205;0,4710499;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2489758;0,2909697;0,3141163;0,311458;0,2757823
7;0,3048115;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2925507;0,2716297;0,3934759;0,2953143;0,2949876;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2901563;0,4710499;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2489758;0,2909697;0,3141163;0,2920205;0,2757823
8;0,2999409;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2924269;0,2673584;0,2777577;0,2953143;0,2769946;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2901563;0,4710499;0,2710387;0,2975118;0,2615474;0,2263318;0,2880989;0,2321843;0,2745994;0,3141163;0,2844053;0,2757823
9;0,276615;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2874754;0,2922039;0,2460486;0,2777577;0,2953143;0,2769946;0,2920205;0,2674466;0,1950686;0,2968875;0,2953143;0,2830853;0,2414365;0,2844069;0,3729977;0,2710387;0,2975118;0,2615474;0,2200619;0,2788391;0,2321843;0,2745994;0,3141163;0,2782193;0,2757823
