CORRIDA;BestFitness;AvgFitness;WorstFitness;MinSize;AvgSize;MaxSize;MinDepth;AvgDepth;MaxDepth
0;0,2466702;0,3399663;0,608413;15;26,8461538;33;5;5,9230769;6
1;0,2706439;0,4987182;1,4489145;3;12,0769231;19;2;4,9230769;6
2;0,1556387;0,2428891;0,7462574;6;26,0833333;43;3;5,75;6
3;0,1815296;0,5001335;1,2346189;1;13,3333333;19;1;4,9166667;6
4;0,1866935;0,4732513;0,948572;1;9,8666667;21;1;4;6
5;0,2671857;0,5325637;1,356379;1;22,4615385;33;1;5,2307692;6
6;0,1685888;0,2237245;0,3647928;27;31,9090909;35;6;6;6
7;0,1704796;0,3192909;0,7976853;1;17,8333333;25;1;4,8333333;6
8;0,1516912;0,2701027;0,4312787;16;25;32;5;5,9;6
9;0,2742526;0,4912895;1,0750065;1;19,3636364;30;1;4,9090909;6
10;0,2260723;0,3853354;1,3568406;10;27,6666667;39;4;5,6666667;6
11;0,1342135;0,3025069;1;10;19,7142857;34;4;5,4285714;6
12;0,1647648;0,2777219;0,9885901;76;93,8333333;98;6;6;6
13;0,1755135;0,4627908;1,8661147;9;18,5714286;31;5;5,5;6
14;0,2712764;0,5021209;1,4754794;3;10,8571429;15;2;4,3571429;6
15;0,2486779;0,4840046;1;1;21,1538462;35;1;5;6
16;0,1402437;0,3873587;0,948572;1;20;34;1;5,1818182;6
17;0,1707844;0,3679942;1,2176533;37;53,7857143;63;6;6;6
18;0,167591;0,526617;1;1;14,6666667;25;1;4,25;6
19;0,1445415;0,4025701;1;1;12,3846154;23;1;4,3846154;6
20;0,2094109;0,2931495;0,7462574;4;36,4615385;52;2;5,6923077;6
21;0,2508358;0,5212451;0,948572;9;27,8;40;3;5,3;6
22;0,2138153;0,3377874;0,8218529;9;24,5384615;41;5;5,9230769;6
23;0,181686;0,3027456;0,4764978;18;26,8181818;31;6;6;6
24;0,1419665;0,3491581;0,948572;5;13,5454545;21;3;5,2727273;6
25;0,2400449;0,3388118;0,8742311;13;26,5333333;42;4;5,6666667;6
26;0,1705556;0,5163295;1;1;10,5;21;1;4;6
27;0,2459647;0,4713241;1;1;13,8461538;22;1;4,7692308;6
28;0,1365924;0,2799994;0,7571173;59;66,7777778;70;6;6;6
29;0,1914229;0,5562788;1,5831809;3;18,3571429;28;2;4,9285714;6
30;0,201786;0,3421861;0,7976853;7;45,2307692;69;3;5,7692308;6
31;0,2209897;0,5361976;1,705429;1;23,5833333;32;1;5,5833333;6
32;0,219205;0,6151744;1,5227411;1;10,8333333;21;1;4,0833333;6
33;0,2056469;0,437166;1,3727728;10;22,5454545;29;4;5,7272727;6
34;0,2460588;0,5279846;1;16;30,6363636;56;4;5,3636364;6
