GENERACIÓN;AvgFITNESS_0;AvgFITNESS_1;AvgFITNESS_2;AvgFITNESS_3;AvgFITNESS_4;AvgFITNESS_5;AvgFITNESS_6;AvgFITNESS_7;AvgFITNESS_8;AvgFITNESS_9;AvgFITNESS_10;AvgFITNESS_11;AvgFITNESS_12;AvgFITNESS_13;AvgFITNESS_14;AvgFITNESS_15;AvgFITNESS_16;AvgFITNESS_17;AvgFITNESS_18;AvgFITNESS_19;AvgFITNESS_20;AvgFITNESS_21;AvgFITNESS_22;AvgFITNESS_23;AvgFITNESS_24;AvgFITNESS_25;AvgFITNESS_26;AvgFITNESS_27;AvgFITNESS_28;AvgFITNESS_29;AvgFITNESS_30;AvgFITNESS_31;AvgFITNESS_32;AvgFITNESS_33;AvgFITNESS_34;BestFITNESS_0;BestFITNESS_1;BestFITNESS_2;BestFITNESS_3;BestFITNESS_4;BestFITNESS_5;BestFITNESS_6;BestFITNESS_7;BestFITNESS_8;BestFITNESS_9;BestFITNESS_10;BestFITNESS_11;BestFITNESS_12;BestFITNESS_13;BestFITNESS_14;BestFITNESS_15;BestFITNESS_16;BestFITNESS_17;BestFITNESS_18;BestFITNESS_19;BestFITNESS_20;BestFITNESS_21;BestFITNESS_22;BestFITNESS_23;BestFITNESS_24;BestFITNESS_25;BestFITNESS_26;BestFITNESS_27;BestFITNESS_28;BestFITNESS_29;BestFITNESS_30;BestFITNESS_31;BestFITNESS_32;BestFITNESS_33;BestFITNESS_34
0;0,9366263;1,0269277;1,0346404;0,9683539;0,8935045;0,8813894;0,9237686;0,7604231;0,9290422;1,0242339;0,769449;0,8859926;0,9973181;0,9267019;0,975265;1,0116808;0,9153817;0,8736979;0,9363497;0,9803163;0,8955353;0,8995937;0,9514291;0,9124781;1,0243551;0,8961793;0,9503774;0,916608;0,8913582;0,8810453;0,9921888;0,9123793;0,8895867;0,9007782;0,795037;0,3175761;0,5384277;0,3712356;0,5486045;0,3942799;0,3012634;0,2952558;0,4238183;0,3872114;0,4273422;0,3247616;0,3507816;0,3169414;0,5041249;0,6075422;0,7700979;0,5561142;0,6075422;0,4273422;0,3062343;0,320014;0,3352389;0,3214069;0,5475838;0,7970738;0,6017399;0,6654804;0,4314552;0,4266958;0,3194721;0,3051831;0,5561142;0,3176046;0,5851737;0,3259927
1;0,867768;0,8716308;0,775615;0,7257547;0,8269396;0,6600679;0,6545666;0,6958042;0,7197332;0,7709463;0,6741626;0,8164826;0,9173374;0,8741846;0,8758592;0,9002904;0,8595144;0,7409692;0,6581677;0,6694592;0,5963035;0,7768202;0,6312509;0,7283997;0,9929798;0,7203912;0,9794071;0,7561726;0,8101678;0,7985252;0,8131956;0,7230792;0,8539973;0,8692626;0,7087189;0,3175761;0,4218587;0,3712356;0,3141163;0,3942799;0,2978671;0,2952558;0,3979947;0,3872114;0,4273422;0,3162813;0,3507816;0,3169414;0,5041249;0,4273422;0,5933824;0,4948313;0,3395467;0,3574014;0,3062343;0,320014;0,3303065;0,2414365;0,3062343;0,7852206;0,6017399;0,2975118;0,3655229;0,4193548;0,3194721;0,3051831;0,3224615;0,3176046;0,5422111;0,3259927
2;0,7098016;0,6989759;0,8068101;0,5483073;0,7515045;0,7121315;0,6416457;0,6450201;0,6115131;0,6986281;0,7441006;0,6924448;0,8363729;0,7992026;0,7541901;0,7124643;0,7170961;0,6831625;0,6352046;0,4048149;0,524583;0,612207;0,799705;0,6321561;0,8775145;0,6487038;0,8298829;0,7161693;0,7553207;0,6428347;0,7756004;0,6346025;0,7034786;0,7188914;0,5001314;0,3048115;0,3347087;0,2953143;0,2908532;0,3942799;0,2978671;0,2952558;0,3452248;0,2867587;0,4273422;0,2874754;0,3450874;0,3169414;0,4224853;0,4273422;0,3701484;0,3311524;0,3255906;0,2465572;0,3062343;0,320014;0,291141;0,2414365;0,2953143;0,601715;0,3062343;0,2975118;0,2920205;0,4193548;0,3194721;0,3051831;0,3224615;0,3176046;0,5422111;0,2959175
3;0,8995945;0,5355241;0,6168241;0,5108318;0,6671477;0,5377806;0,4944406;0,6766797;0,7460227;0,5594816;0,6568337;0,529089;0,6189846;0,6723974;0,5438948;0,6854569;0,6597866;0,6646852;0,5620824;0,456958;0,4369422;0,5557634;0,7475294;0,559721;0,7806579;0,5780516;0,6593329;0,5424317;0,7389848;0,5810422;0,6225544;0,4514384;0,6550866;0,6370315;0,4766154;0,3048115;0,3347087;0,2953143;0,2801346;0,3230672;0,2755339;0,2952558;0,3021267;0,2867587;0,2953143;0,2874754;0,2937912;0,3152743;0,3996696;0,3062343;0,3701484;0,3062343;0,2997954;0,2465572;0,3062343;0,2953143;0,291141;0,2414365;0,2920205;0,601715;0,2920205;0,2975118;0,2682993;0,4193548;0,3177056;0,3051831;0,3224615;0,3176046;0,5422111;0,2855525
4;0,8205481;0,5526285;0,4780749;0,6296708;0,7111679;0,4934795;0,4735783;0,5563918;0,4642086;0,5021303;0,543645;0,5154486;0,4301425;0,7147773;0,462626;0,656982;0,5325722;0,5634829;0,5760092;0,329412;0,4511405;0,4676873;0,5301011;0,4601213;0,7127038;0,5607222;0,5769514;0,4096702;0,5149929;0,3709292;0,5203553;0,4595564;0,5637701;0,6026197;0,4697895;0,3048115;0,2974546;0,2953143;0,2414403;0,3134382;0,2755339;0,2628516;0,2819918;0,2867587;0,2953143;0,2874754;0,2937912;0,2936173;0,3996696;0,3062343;0,3263395;0,3062343;0,2997954;0,2184949;0,3062343;0,2953143;0,2853483;0,2414365;0,2920205;0,5004204;0,2920205;0,2975118;0,2682993;0,2492892;0,2956199;0,2957049;0,2952653;0,3176046;0,3730652;0,2757823
5;0,7910382;0,5675545;0,3795906;0,4579326;0,6737365;0,3424204;0,3821769;0,5604373;0,6109154;0,4862641;0,4275346;0,4690154;0,3608365;0,6943275;0,4319798;0,5768163;0,4371797;0,5211379;0,6435126;0,4167047;0,4687294;0,5179971;0,5694486;0,686128;0,6912717;0,5529208;0,4718573;0,5085866;0,4112868;0,3741691;0,6700326;0,6112388;0,5068987;0,5323972;0,4944418;0,3048115;0,2963037;0,2835937;0,2414403;0,3076119;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2937912;0,2771906;0,3934759;0,3062343;0,3263395;0,2953143;0,2674466;0,1956419;0,3062343;0,2953143;0,2853483;0,2414365;0,2920205;0,5004204;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2607217;0,2952653;0,3141163;0,3680937;0,2757823
6;0,6026077;0,5976491;0,5265368;0,3684289;0,5393119;0,3027996;0,5566857;0,5367397;0,6118535;0,4522258;0,5337369;0,4790688;0,3359515;0,6532258;0,5388955;0,5075215;0,4147745;0,4495814;0,4924235;0,3679804;0,3545738;0,4948115;0,5227357;0,4979809;0,7074286;0,4820808;0,4750772;0,3664721;0,3367357;0,4363718;0,4539922;0,5418227;0,5196322;0,5611371;0,5788211;0,3048115;0,2963037;0,2835021;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2937912;0,2771906;0,3934759;0,2953143;0,3263395;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2920205;0,4710499;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2489758;0,2909697;0,3141163;0,311458;0,2757823
7;0,5443254;0,3992037;0,573476;0,4957437;0,6135046;0,4672807;0,710133;0,4544841;0,6143574;0,3869095;0,4430144;0,3898789;0,390518;0,5539753;0,4509017;0,4935201;0,5873558;0,3129202;0,5456624;0,3464482;0,3589945;0,5512182;0,5094861;0,4665255;0,7309418;0,4073298;0,3533016;0,5062141;0,3025978;0,4599524;0,3484026;0,4282298;0,5433127;0,480691;0,4011504;0,3048115;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2925507;0,2716297;0,3934759;0,2953143;0,2949876;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2901563;0,4710499;0,2920205;0,2975118;0,2615474;0,2265574;0,2956199;0,2489758;0,2909697;0,3141163;0,2920205;0,2757823
8;0,6288986;0,5156174;0,514773;0,3630199;0,5218977;0,3684301;0,4292824;0,4318659;0,4666688;0,4221674;0,4453904;0,4516158;0,3415322;0,5253636;0,4666903;0,4864442;0,5886688;0,3317805;0,7886513;0,3522173;0,4421916;0,4205536;0,4842024;0,4846663;0,6135382;0,3631651;0,5354975;0,4418443;0,339515;0,3840823;0,3454438;0,441312;0,5877837;0,403486;0,3242094;0,2999409;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2628516;0,2121964;0,2867587;0,2953143;0,2874754;0,2924269;0,2673584;0,2777577;0,2953143;0,2769946;0,2953143;0,2674466;0,1956419;0,2968875;0,2953143;0,2830853;0,2414365;0,2901563;0,4710499;0,2710387;0,2975118;0,2615474;0,2263318;0,2880989;0,2321843;0,2745994;0,3141163;0,2844053;0,2757823
9;0,4489039;0,6422307;0,4184871;0,3747305;0,6424862;0,3699102;0,4130604;0,338087;0,4777589;0,3887285;0,4093911;0,4349494;0,2839934;0,5065886;0,4085862;0,3260256;0,3993735;0,2982922;0,4839701;0,4236648;0,4083255;0,365002;0,4228931;0,5022385;0,6258289;0,4380709;0,5403652;0,4234653;0,360163;0,404369;0,4302218;0,471166;0,4951382;0,5047339;0,382535;0,276615;0,2963037;0,2537121;0,2414403;0,3004459;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2874754;0,2922039;0,2460486;0,2777577;0,2953143;0,2769946;0,2920205;0,2674466;0,1950686;0,2968875;0,2953143;0,2830853;0,2414365;0,2844069;0,3729977;0,2710387;0,2975118;0,2615474;0,2200619;0,2788391;0,2321843;0,2745994;0,3141163;0,2782193;0,2757823
10;0,6910057;0,491659;0,5096936;0,5451669;0,5776786;0,4574618;0,4088196;0,3633523;0,5744151;0,4537847;0,4163671;0,4044993;0,293534;0,5190547;0,4335138;0,3042188;0,3647672;0,3455771;0,5229186;0,3542927;0,367349;0,4429775;0,4608455;0,5289208;0,5394766;0,4079449;0,4135711;0,3913907;0,4056028;0,4589085;0,3248086;0,4433815;0,4887627;0,455157;0,328737;0,276615;0,2833031;0,2537121;0,2414403;0,3004459;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2874754;0,2878737;0,2460486;0,2777577;0,2953143;0,2769946;0,2920205;0,2392564;0,1950686;0,2968875;0,2953143;0,2830853;0,2414365;0,2414403;0,2991048;0,2710387;0,2783716;0,2615474;0,2162298;0,2788391;0,2270445;0,2745994;0,3141163;0,2651356;0,2722974
11;0,4405451;0,4745926;0,4783294;0,4939127;0,6217539;0,50503;0,4513824;0,3218252;0,3951538;0,4775931;0,4645742;0,3469253;0,2970461;0,520247;0,4866046;0,3336096;0,4720817;0,521463;0,6999825;0,457437;0,397252;0,5276884;0,4241618;0,5299535;0,4611951;0,3933608;0,441724;0,4484204;0,5116163;0,3745671;0,3739845;0,4917891;0,4638927;0,5075363;0,2970662;0,2528626;0,2833031;0,2537121;0,2414365;0,2879205;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2835621;0,2878737;0,2460486;0,2777577;0,2953143;0,2729423;0,2920205;0,2392564;0,1950686;0,2968875;0,2953143;0,2820369;0,2414365;0,2414403;0,2991048;0,2710387;0,2663102;0,2615474;0,2162298;0,2752854;0,2270445;0,2745994;0,3141163;0,2651356;0,2701604
12;0,3715433;0,6102694;0,4067252;0,4348722;0,464544;0,3952515;0,5066442;0,2963898;0,451121;0,3706503;0,4835499;0,4522686;0,3773483;0,6142243;0,4282781;0,3228959;0,3833904;0,3817829;0,6649162;0,4288371;0,4530041;0,3964532;0,7409594;0,5274998;0,4420453;0,3314907;0,4373012;0,6760398;0,3314005;0,3997866;0,364162;0,4743851;0,4011425;0,4694189;0,3969208;0,2528626;0,2833031;0,2537121;0,2414365;0,2879205;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2804097;0,2878737;0,239648;0,2777577;0,2953143;0,2722446;0,2920205;0,2392564;0,1950686;0,2414403;0,2953143;0,2752737;0,2414365;0,2414403;0,2991048;0,2710387;0,2663102;0,2615474;0,2136134;0,2752854;0,2270445;0,2605304;0,3141163;0,2651356;0,2701604
13;0,7159368;0,5208379;0,458792;0,2540187;0,5496748;0,3928236;0,479635;0,2733141;0,4091061;0,5280861;0,6045111;0,3983985;0,3036587;0,6753468;0,6355227;0,3139556;0,3386226;0,2870837;0,4435861;0,503467;0,5502475;0,3884185;0,7036759;0,4712799;0,489619;0,3549483;0,4335944;0,5350389;0,4917625;0,4850916;0,2965663;0,5575234;0,4136536;0,4192524;0,3804615;0,2528626;0,2833031;0,2537121;0,2414365;0,2833801;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2804097;0,2876622;0,2253541;0,2777577;0,2953143;0,2722446;0,2920205;0,2392564;0,1950686;0,2414403;0,2953143;0,2622159;0,2414365;0,2414403;0,2568356;0,2710387;0,2121453;0,254645;0,2136134;0,2752854;0,2270445;0,2605304;0,3141163;0,2651356;0,2701604
14;0,7501076;0,4867606;0,5535426;0,4993141;0,4900101;0,3921132;0,3363888;0,3001552;0,4308965;0,6051388;0,4959769;0,3660622;0,3006338;0,4872137;0,4434145;0,3717422;0,3680375;0,3681743;0,3176425;0,4520878;0,5106178;0,3193457;0,4648523;0,4669976;0,4065137;0,5519431;0,4141071;0,4303726;0,3248726;0,5718831;0,3653102;0,3938168;0,5759263;0,3426425;0,3363456;0,2528626;0,2831931;0,2537121;0,2414365;0,2833801;0,2755339;0,2385902;0,2121964;0,2867587;0,2953143;0,2804097;0,2876622;0,2253541;0,2777577;0,2953143;0,2722446;0,2885091;0,2392564;0,1942529;0,2414403;0,2953143;0,2622159;0,2414365;0,2414403;0,2568356;0,2710387;0,2121453;0,254645;0,2136134;0,2752854;0,2270445;0,2605304;0,3141163;0,2651279;0,2701604
15;0,7186961;0,558639;0,48401;0,5023144;0,6339513;0,4064257;0,3529168;0,407672;0,2890341;0,4980971;0,4515955;0,2949307;0,3924927;0,4405481;0,328665;0,3362562;0,3364694;0,3059995;0,3488378;0,5277261;0,3542004;0,4546634;0,5796035;0,4792308;0,4739787;0,4559111;0,5461355;0,518877;0,4167783;0,4854842;0,3887389;0,3773117;0,6437621;0,540161;0,3023719;0,2528626;0,2831931;0,2537121;0,2414365;0,2833801;0,2755339;0,2385902;0,2104815;0,2867587;0,2953143;0,2804097;0,2876622;0,2217103;0,2777577;0,2953143;0,2722446;0,2850247;0,2310719;0,1942529;0,2414403;0,2953143;0,2622159;0,2414365;0,2213868;0,2568356;0,2710387;0,2076738;0,254645;0,2136134;0,2752854;0,2270445;0,2605304;0,3100512;0,2651279;0,2701604
