GENERACIÓN;AvgTam_0;AvgTam_1;AvgTam_2;AvgTam_3;AvgTam_4;AvgTam_5;AvgTam_6;AvgTam_7;AvgTam_8;AvgTam_9;AvgTam_10;AvgTam_11;AvgTam_12;AvgTam_13;AvgTam_14;AvgTam_15;AvgTam_16;AvgTam_17;AvgTam_18;AvgTam_19;AvgTam_20;AvgTam_21;AvgTam_22;AvgTam_23;AvgTam_24;AvgTam_25;AvgTam_26;AvgTam_27;AvgTam_28;AvgTam_29;AvgTam_30;AvgTam_31;AvgTam_32;AvgTam_33;AvgTam_34;BestTam_0;BestTam_1;BestTam_2;BestTam_3;BestTam_4;BestTam_5;BestTam_6;BestTam_7;BestTam_8;BestTam_9;BestTam_10;BestTam_11;BestTam_12;BestTam_13;BestTam_14;BestTam_15;BestTam_16;BestTam_17;BestTam_18;BestTam_19;BestTam_20;BestTam_21;BestTam_22;BestTam_23;BestTam_24;BestTam_25;BestTam_26;BestTam_27;BestTam_28;BestTam_29;BestTam_30;BestTam_31;BestTam_32;BestTam_33;BestTam_34
0;31,4;15,5333333;9,5333333;7,6666667;17,6;19,2;34,1333333;23,2;17,6;25,0666667;22,0666667;26,8666667;24;25,6;15,8;18,6;17,1333333;12,2;23,1333333;21,7333333;21,8666667;17;35,6666667;22,3333333;23,7333333;15,5333333;33;13,0666667;17,2;10,8;17,0666667;20,9333333;13,0666667;19,8;24,4;31;15;16;32;35;68;35;16;52;7;74;69;140;15;3;18;10;10;7;36;25;50;15;7;35;10;32;7;95;22;47;15;18;97;68
1;18,3333333;8,4666667;6,1333333;8,0666667;10,8461538;27,6923077;25,2857143;26,0714286;26,4285714;11,3571429;39,25;25,2142857;25,1428571;21,0769231;10,9333333;11,3333333;10,2666667;13,6666667;13,0714286;14,9333333;17,8666667;15,5;22,2666667;12,2;24,3846154;6,3333333;24,1428571;9,6153846;24,4;16,7142857;15,2666667;25,4166667;10,9333333;18,1538462;30,1428571;31;13;16;30;35;38;35;49;43;7;62;69;140;15;11;15;7;24;13;34;24;42;5;7;35;10;26;11;95;22;47;15;18;21;68
2;21,1333333;10,2;8;16,9285714;9,4;28,9166667;26,0833333;23,8181818;36,4;10,2;62,5;22,5;19,4285714;22,25;11,8;12,5333333;12,6666667;15,8;11,2;30,1538462;18,9166667;25,75;13,0769231;8,8;16,1428571;6,2;34,0769231;8,8666667;29,7857143;15,9090909;24,4285714;15,5;11,4666667;24;53,7857143;29;17;9;15;33;38;35;11;53;7;73;67;140;37;11;27;20;29;16;32;20;52;5;9;9;10;26;12;95;22;47;15;16;21;61
3;26,1333333;13,2666667;6;17,75;15,6428571;38,5454545;30,7857143;33,0714286;31,3333333;7,8666667;57,3;34,0666667;58,7692308;19,2857143;10,4285714;14,1428571;11,3076923;15,8666667;11;35,3333333;21;31,3846154;20;9,4666667;14,7857143;7,6;29,2307692;11,2666667;52,2222222;22,4285714;32,0714286;12,8571429;15,1333333;26,7857143;48,3076923;29;17;9;13;26;39;35;17;53;11;73;61;111;11;17;27;19;31;16;32;21;52;5;11;9;19;26;16;95;23;47;15;16;21;75
4;23,7857143;12,2;9,9333333;19;20,2142857;35,7272727;26,8666667;23,6428571;40,5;8,1333333;59,3846154;51,0714286;98,0769231;16,0769231;13,5384615;15,4615385;14,1538462;21,5;11,6666667;35,5384615;19,5833333;38,4615385;21,5;8,5714286;14,1333333;10,2;41,6666667;12,6923077;64,5454545;20,8666667;38,5384615;12,3333333;18,0769231;36,5384615;47,8666667;29;19;9;21;30;35;33;41;38;11;73;56;140;11;15;26;15;31;18;30;21;51;5;11;11;19;26;16;75;20;47;19;16;24;54
5;20,7142857;15,5;11,2666667;18,6923077;21,4285714;36;34,9333333;20;44,8333333;11,8666667;60,2857143;55,7142857;122,25;18,7333333;16,2307692;21,4615385;18,7142857;22,5;11,1538462;29,4545455;18,4666667;35,5833333;19,6428571;9;10,4615385;13,2142857;32,2307692;12,6923077;74;22,0714286;42,6428571;16,0714286;21,3333333;21,2857143;51,7142857;29;19;15;9;33;35;33;13;38;11;73;56;140;21;15;26;19;35;23;29;21;51;5;11;11;19;26;16;89;20;46;19;22;21;54
6;19,6923077;15;9,6153846;15,0769231;21,6666667;33,9166667;31,6666667;14,3846154;44,6666667;13,8;59,9285714;49;133,1818182;19,5384615;10,6363636;20,1538462;18,5;29,4;14,3333333;32;18,7142857;41;17,2857143;11,6;9,3571429;14,6363636;25,4285714;13,25;70,9090909;22;43,2666667;14,2857143;21,4615385;17,9090909;41,5555556;29;19;13;9;25;29;33;13;38;11;73;48;140;21;19;26;19;35;23;30;16;30;5;11;22;19;26;16;79;20;46;19;22;19;54
7;20,4285714;19;11,4;14,9090909;19,4545455;28,3846154;28,1428571;13,6666667;42,6153846;14,1666667;70,4666667;48,5;131,4166667;23,3076923;15,8;22,5;14,5;31,6428571;13,7272727;30,7692308;19,5333333;34,9090909;9,2;10,4;8;16,5714286;26,5384615;12,5833333;76,6;19,6428571;44,4;17,2857143;18,9230769;15,9090909;50,5;27;19;19;9;25;29;33;11;38;11;73;38;138;21;17;36;17;35;23;30;13;30;5;11;22;19;26;16;79;20;46;19;20;15;54
8;20,7142857;18,6;14,6363636;15,2307692;23,2727273;28,8571429;30,75;15,9230769;45,4285714;14,9230769;71,5;50,2142857;134,8333333;23,8;12,8181818;21,8571429;18,5;28,6666667;11,7272727;30,8461538;18,6428571;32,4666667;5,9090909;9,6428571;10,5;19,1333333;23,6153846;11,4615385;77;18,4285714;40,9230769;17,1333333;19,3846154;18,1428571;52,9333333;32;19;19;9;25;29;33;11;38;11;73;52;140;28;17;36;17;35;23;30;13;30;5;11;22;19;24;16;87;17;42;23;18;22;54
9;26,1333333;17,4;13,1818182;17,2857143;21,6;25,5833333;26,0833333;16,25;46,9166667;14,75;73,1666667;49,2857143;134;21,25;12,8571429;29,9166667;18,8461538;33,2307692;12,1666667;27,3076923;21,0666667;30,2;5,2666667;9,3846154;12,1818182;17,7692308;19,6428571;13,6428571;84,9;16,6;40;15;19,75;16,5333333;51,2307692;30;19;19;9;25;29;31;11;38;11;73;65;135;28;15;36;25;31;23;22;13;30;5;11;17;17;24;16;89;21;42;23;16;22;54
