================================================================
ESTADISTICAS DE USO DE CPLEX
Job: 15
================================================================

ESTADISTICAS GLOBALES:
  Individuos evaluados:     9033
  Llamadas totales a CPLEX: 62401
  Tiempo total usado:       1140,625 segundos
  Porcentaje configurado:   10,0% del baseline por instancia
  NOTA: El presupuesto se calcula por instancia como: baseline_instancia × 10,0%
  Promedio llamadas/indiv:  6,91
  Promedio tiempo/indiv:    0,126 segundos
  Promedio tiempo/llamada:  0,018 segundos

ESTADISTICAS POR GENERACION:
Gen        Individuos      Llamadas        Tiempo Total (s)     Prom. Tiempo/Indiv  
--------------------------------------------------------------------------------
0          157             1595            11,922               0,076               
1          128             566             0,766                0,006               
2          129             726             0,109                0,001               
3          111             822             3,031                0,027               
4          107             742             12,109               0,113               
5          101             617             4,109                0,041               
6          106             671             1,391                0,013               
7          101             865             3,156                0,031               
8          94              653             5,781                0,062               
9          97              359             0,250                0,003               
10         77              415             1,953                0,025               
11         94              451             0,953                0,010               
12         89              535             1,109                0,012               
13         94              474             1,563                0,017               
14         99              538             1,313                0,013               
15         103             669             4,297                0,042               
16         95              531             1,172                0,012               
17         96              628             3,453                0,036               
18         91              828             10,406               0,114               
19         90              615             7,828                0,087               
20         88              542             10,563               0,120               
21         98              548             14,125               0,144               
22         89              497             13,813               0,155               
23         91              688             19,219               0,211               
24         90              939             28,703               0,319               
25         96              328             3,203                0,033               
26         84              662             23,375               0,278               
27         92              836             23,125               0,251               
28         90              553             14,078               0,156               
29         94              1020            34,203               0,364               
30         92              373             4,875                0,053               
31         94              734             19,750               0,210               
32         92              941             30,250               0,329               
33         90              960             19,828               0,220               
34         91              931             19,938               0,219               
35         95              993             12,094               0,127               
36         92              1073            17,781               0,193               
37         89              637             15,719               0,177               
38         96              914             21,094               0,220               
39         88              663             10,156               0,115               
40         93              654             19,078               0,205               
41         92              1046            28,438               0,309               
42         81              955             20,750               0,256               
43         91              998             36,219               0,398               
44         80              988             34,156               0,427               
45         85              816             30,656               0,361               
46         84              973             40,406               0,481               
47         85              1019            32,469               0,382               
48         93              1024            34,328               0,369               
49         94              1174            33,344               0,355               
50         82              739             17,328               0,211               
51         95              1308            45,609               0,480               
52         86              1195            35,281               0,410               
53         90              783             12,047               0,134               
54         85              650             12,719               0,150               
55         86              709             18,641               0,217               
56         83              758             24,422               0,294               
57         87              993             32,797               0,377               
58         88              928             21,063               0,239               
59         85              584             11,625               0,137               
60         83              629             14,516               0,175               
61         85              662             15,391               0,181               
62         85              495             9,375                0,110               
63         87              424             1,313                0,015               
64         89              482             7,016                0,079               
65         90              521             2,703                0,030               
66         89              651             9,547                0,107               
67         73              265             1,891                0,026               
68         92              352             1,047                0,011               
69         90              371             1,047                0,012               
70         77              378             5,891                0,077               
71         82              523             13,359               0,163               
72         81              559             4,313                0,053               
73         79              346             3,328                0,042               
74         82              505             1,203                0,015               
75         87              467             3,516                0,040               
76         77              595             3,859                0,050               
77         81              405             3,422                0,042               
78         84              441             3,109                0,037               
79         96              942             13,031               0,136               
80         86              363             2,094                0,024               
81         79              472             4,922                0,062               
82         74              217             1,438                0,019               
83         86              582             6,922                0,080               
84         81              400             0,297                0,004               
85         91              431             5,625                0,062               
86         93              213             1,141                0,012               
87         86              197             0,313                0,004               
88         83              253             1,141                0,014               
89         82              335             0,938                0,011               
90         85              284             1,359                0,016               
91         91              271             1,719                0,019               
92         84              161             2,109                0,025               
93         93              255             2,609                0,028               
94         85              312             0,531                0,006               
95         97              325             3,406                0,035               
96         86              153             1,266                0,015               
97         83              220             0,375                0,005               
98         84              281             8,719                0,104               
99         80              237             0,891                0,011               

================================================================
