Gen;AvgSize;AvgERL;AvgERP;AvgFITNESS;BestSize;BestERL;BestERP;BestFITNESS;AvgHits;BestHits
1;7,6666667;0;1,0055544;1,0055544;17;0;0,4978203;0,4978203;0,1333333;2
2;7,8333333;0;0,70593;0,70593;17;0;0,4978203;0,4978203;0,6666667;2
3;13,8333333;0;0,6285761;0,6285761;17;0;0,4262107;0,4262107;1,1666666;2
4;14,8333333;0;0,4796089;0,4796089;22;0;0,37968;0,37968;1,3333334;2
5;13,3333333;0;0,6556427;0,6556427;22;0;0,37968;0,37968;0,8888889;2
6;15,8181818;0;0,6618973;0,6618974;13;0;0,3796791;0,3796791;1,0909091;2
7;14,1;0;0,5592319;0,5592319;19;0;0,3796787;0,3796788;1,6;2
8;16,4166667;0;0,4015175;0,4015175;20;0;0,3164151;0,316415;1,9166666;3
9;14,6666667;0;0,4623228;0,4623228;20;0;0,3164151;0,316415;1,6666666;3
10;14,8888889;0;0,4175538;0,4175538;17;0;0,2414403;0,2414403;2;3
11;14,7777778;0;0,830434;0,830434;12;0;0,2414403;0,2414403;1,4444444;3
12;13,3;0;0,6743086;0,6743086;12;0;0,2414403;0,2414403;1,4;3
13;13,1818182;0;0,492558;0,492558;10;0;0,2414403;0,2414403;2,3636363;3
14;11,2222222;0;0,6581904;0,6581904;10;0;0,2414403;0,2414403;1,8888888;3
15;13,2;0;0,5575575;0,5575575;13;0;0,2298738;0,2298738;2,0999999;3
16;10,8181818;0;0,5103132;0,5103132;13;0;0,2298738;0,2298738;1,9090909;3
17;8,5;0;0,5639658;0,5639658;7;0;0,2298738;0,2298738;1,8;3
18;8,8;0;0,4501037;0,4501037;7;0;0,2298738;0,2298738;1,8;3
19;9,2;0;0,5652928;0,5652928;7;0;0,2298738;0,2298738;1,4;3
20;8,1818182;0;0,4441511;0,4441511;9;0;0,2226971;0,2226971;1,9090909;3
21;9,1428571;0;0,3116216;0,3116216;9;0;0,2226971;0,2226971;2,3571429;3
22;7,4444444;0;0,2897743;0,2897743;7;0;0,2226971;0,2226971;2,6666667;3
23;6,2727273;0;0,3995627;0,3995627;7;0;0,2226971;0,2226971;1,9090909;3
24;5,4444444;0;0,5166979;0,5166979;7;0;0,2226971;0,2226971;1;3
25;6,6;0;0,4193807;0,4193807;7;0;0,2226971;0,2226971;1,8;3
26;6,8;0;0,2997509;0,2997509;7;0;0,2226971;0,2226971;2,7;3
27;5,4;0;0,5181155;0,5181156;7;0;0,2226971;0,2226971;1,2;3
28;5,5;0;0,4978578;0,4978578;7;0;0,2226971;0,2226971;1,5;3
29;6,1111111;0;0,5122668;0,5122669;7;0;0,2226971;0,2226971;1,3333334;3
30;6,7142857;0;0,5375328;0,5375327;7;0;0,2226971;0,2226971;2,1428571;3
31;8,1666667;0;0,4048284;0,4048284;7;0;0,2226971;0,2226971;1,9166666;3
32;5,2222222;0;0,4572794;0,4572794;7;0;0,2226971;0,2226971;1,3333334;3
33;5,9090909;0;0,5273983;0,5273982;7;0;0,2226971;0,2226971;1,7272727;3
34;7;0;0,4840749;0,4840749;9;0;0,1987498;0,1987498;1,8571428;2
35;6,3333333;0;0,6641018;0,6641018;9;0;0,1987498;0,1987498;1,1666666;2
36;7,7272727;0;0,3208016;0,3208016;9;0;0,1987498;0,1987498;2,1818182;2
37;8,6363636;0;0,4920151;0,4920151;9;0;0,1987498;0,1987498;1,7272727;2
38;7,4166667;0;0,4878;0,4878001;9;0;0,1987498;0,1987498;1,3333334;2
39;6,8181818;0;0,4315424;0,4315424;9;0;0,1987498;0,1987498;1,8181819;2
40;7;0;0,3495728;0,3495728;9;0;0,1987498;0,1987498;1,7;2
41;5;0;0,6657839;0,6657839;9;0;0,1987498;0,1987498;1,2222222;2
42;7;0;0,5331616;0,5331617;9;0;0,1987498;0,1987498;1,1818181;2
43;8;0;0,29317;0,2931699;9;0;0,1987498;0,1987498;1,5;2
44;7,8;0;0,3704595;0,3704596;9;0;0,1987498;0,1987498;1,7;2
45;6,3846154;0;0,6091747;0,6091748;9;0;0,1987498;0,1987498;1,2307693;2
46;8,3333333;0;0,6693083;0,6693084;9;0;0,1987498;0,1987498;1,1111112;2
47;8,1111111;0;0,3798888;0,3798888;9;0;0,1987498;0,1987498;1,4444444;2
48;6,7777778;0;0,5194539;0,5194539;9;0;0,1987498;0,1987498;1,4444444;2
49;6,4;0;0,5505976;0,5505977;9;0;0,1987498;0,1987498;0,9;2
50;7,6666667;0;0,4341236;0,4341236;9;0;0,1987498;0,1987498;1,2222222;2
51;6,25;0;0,402188;0,402188;9;0;0,1987498;0,1987498;1,375;2
52;7,8333333;0;0,255246;0,255246;9;0;0,1987498;0,1987498;2,0833333;2
53;6,4545455;0;0,5800635;0,5800636;9;0;0,1987498;0,1987498;1,1818181;2
54;8,2727273;0;0,5606242;0,5606242;9;0;0,1987498;0,1987498;1,3636364;2
55;8,0909091;0;0,2444354;0,2444354;9;0;0,1987498;0,1987498;2,090909;2
56;6,4444444;0;0,6144728;0,6144729;9;0;0,1987498;0,1987498;1,2222222;2
57;7,8;0;0,3430358;0,3430358;9;0;0,1987498;0,1987498;1,6;2
58;7,7272727;0;0,3519688;0,3519688;9;0;0,1987498;0,1987498;1,8181819;2
59;5,9090909;0;0,6138795;0,6138795;9;0;0,1987498;0,1987498;1,1818181;2
60;6,5555556;0;0,4536182;0,4536182;9;0;0,1987498;0,1987498;1,1111112;2
61;7,3636364;0;0,4179347;0,4179347;9;0;0,1987498;0,1987498;1,3636364;2
62;5,8333333;0;0,603617;0,603617;9;0;0,1987498;0,1987498;1,1666666;2
63;7,3636364;0;0,3547181;0,3547181;9;0;0,1987498;0,1987498;1,9090909;2
64;7,6666667;0;0,4052848;0,4052848;9;0;0,1987498;0,1987498;1,5;2
65;8,6363636;0;0,2593179;0,2593179;9;0;0,1987498;0,1987498;1,8181819;2
66;6,1111111;0;0,3688835;0,3688836;9;0;0,1987498;0,1987498;1,4444444;2
67;5,9;0;0,4573889;0,4573889;9;0;0,1987498;0,1987498;1,5;2
68;5,4444444;0;0,4983524;0,4983525;9;0;0,1987498;0,1987498;1,4444444;2
