Gen;Standarized;Ajusted;Hits
0;0,3191818;0,7580456;3
1;0,3152659;0,7603025;3
2;0,3152659;0,7603025;3
3;0,3152659;0,7603025;3
4;0,3152659;0,7603025;3
5;0,3016025;0,7682837;3
6;0,3016025;0,7682837;3
7;0,2960133;0,7715971;3
8;0,2960133;0,7715971;3
9;0,2960133;0,7715971;3
10;0,2960133;0,7715971;3
11;0,2960133;0,7715971;3
12;0,2960133;0,7715971;3
13;0,2960133;0,7715971;3
14;0,2960133;0,7715971;3
15;0,2960133;0,7715971;3
16;0,2960133;0,7715971;3
17;0,2960133;0,7715971;3
18;0,2960133;0,7715971;3
19;0,2960133;0,7715971;3
20;0,2960133;0,7715971;3
21;0,2960133;0,7715971;3
22;0,2960133;0,7715971;3
23;0,2960133;0,7715971;3
24;0,2960133;0,7715971;3
25;0,2960133;0,7715971;3
26;0,2960133;0,7715971;3
27;0,2960133;0,7715971;3
28;0,2960133;0,7715971;3
29;0,2960133;0,7715971;3
30;0,2960133;0,7715971;3
31;0,2960133;0,7715971;3
32;0,1321845;0,8832483;8
33;0,1250019;0,8888874;8
34;0,1250019;0,8888874;8
35;0,1250019;0,8888874;8
36;0,1250019;0,8888874;8
37;0,1250019;0,8888874;8
38;0,1250019;0,8888874;8
39;0,1250019;0,8888874;8
40;0,1250019;0,8888874;8
41;0,1250019;0,8888874;8
42;0,1250019;0,8888874;8
43;0,1250019;0,8888874;8
44;0,1250019;0,8888874;8
45;0,1250019;0,8888874;8
46;0,1250019;0,8888874;8
47;0,1250019;0,8888874;8
48;0,1250019;0,8888874;8
49;0,1250019;0,8888874;8
50;0,1250019;0,8888874;8
51;0,1250019;0,8888874;8
52;0,1250019;0,8888874;8
53;0,1250019;0,8888874;8
54;0,1250019;0,8888874;8
55;0,1250019;0,8888874;8
56;0,1250019;0,8888874;8
57;0,1250019;0,8888874;8
58;0,1250019;0,8888874;8
59;0,1250019;0,8888874;8
60;0,12151;0,891655;8
61;0,12151;0,891655;8
62;0,12151;0,891655;8
63;0,12151;0,891655;8
64;0,12151;0,891655;8
65;0,12151;0,891655;8
66;0,12151;0,891655;8
67;0,12151;0,891655;8
68;0,12151;0,891655;8
69;0,12151;0,891655;8
70;0,12151;0,891655;8
71;0,12151;0,891655;8
72;0,12151;0,891655;8
73;0,12151;0,891655;8
74;0,12151;0,891655;8
75;0,12151;0,891655;8
76;0,12151;0,891655;8
77;0,12151;0,891655;8
78;0,12151;0,891655;8
79;0,12151;0,891655;8
80;0,12151;0,891655;8
81;0,12151;0,891655;8
82;0,12151;0,891655;8
83;0,12151;0,891655;8
84;0,12151;0,891655;8
85;0,12151;0,891655;8
86;0,12151;0,891655;8
87;0,12151;0,891655;8
88;0,12151;0,891655;8
89;0,12151;0,891655;8
90;0,12151;0,891655;8
91;0,12151;0,891655;8
92;0,12151;0,891655;8
93;0,12151;0,891655;8
94;0,12151;0,891655;8
95;0,12151;0,891655;8
96;0,12151;0,891655;8
97;0,12151;0,891655;8
98;0,12151;0,891655;8
99;0,12151;0,891655;8
