================================================================
ESTADISTICAS DE USO DE CPLEX
Job: 26
================================================================

ESTADISTICAS GLOBALES:
  Individuos evaluados:     15510
  Llamadas totales a CPLEX: 188030
  Tiempo total usado:       7776,063 segundos
  Porcentaje configurado:   10,0% del baseline por instancia
  NOTA: El presupuesto se calcula por instancia como: baseline_instancia × 10,0%
  Promedio llamadas/indiv:  12,12
  Promedio tiempo/indiv:    0,501 segundos
  Promedio tiempo/llamada:  0,041 segundos

ESTADISTICAS POR GENERACION:
Gen        Individuos      Llamadas        Tiempo Total (s)     Prom. Tiempo/Indiv  
--------------------------------------------------------------------------------
0          260             2621            37,281               0,143               
1          210             1227            7,719                0,037               
2          200             1826            29,391               0,147               
3          194             2011            24,781               0,128               
4          178             1616            23,766               0,134               
5          177             1448            23,219               0,131               
6          158             1091            14,016               0,089               
7          163             1533            37,859               0,232               
8          165             1860            54,188               0,328               
9          163             1700            35,609               0,218               
10         166             1971            53,078               0,320               
11         158             1470            17,781               0,113               
12         161             1807            47,125               0,293               
13         151             2522            58,984               0,391               
14         165             2209            78,469               0,476               
15         153             1833            50,734               0,332               
16         162             1486            35,063               0,216               
17         160             1160            26,438               0,165               
18         159             2221            85,172               0,536               
19         146             1691            60,172               0,412               
20         154             1792            58,750               0,381               
21         153             1928            76,734               0,502               
22         158             1725            50,438               0,319               
23         154             2061            66,719               0,433               
24         164             2194            113,391              0,691               
25         154             1545            70,469               0,458               
26         157             1688            90,141               0,574               
27         155             2253            112,672              0,727               
28         150             2383            99,922               0,666               
29         157             2014            59,141               0,377               
30         156             1921            100,219              0,642               
31         151             1907            101,828              0,674               
32         148             1523            76,797               0,519               
33         156             1533            84,078               0,539               
34         158             1638            64,703               0,410               
35         154             1926            85,203               0,553               
36         149             1114            45,328               0,304               
37         148             1592            79,734               0,539               
38         163             1823            83,641               0,513               
39         147             1709            120,281              0,818               
40         147             2469            137,563              0,936               
41         166             1976            112,438              0,677               
42         135             1069            48,250               0,357               
43         161             1581            78,344               0,487               
44         154             1518            67,188               0,436               
45         152             1792            78,406               0,516               
46         143             1542            69,578               0,487               
47         149             1728            88,359               0,593               
48         148             2240            106,000              0,716               
49         145             2387            129,516              0,893               
50         150             2548            164,609              1,097               
51         154             1932            87,797               0,570               
52         145             1469            51,484               0,355               
53         151             1756            69,047               0,457               
54         148             1673            65,141               0,440               
55         149             1760            86,422               0,580               
56         153             2123            105,109              0,687               
57         165             2573            90,672               0,550               
58         145             1228            53,844               0,371               
59         141             1613            69,641               0,494               
60         143             809             31,844               0,223               
61         175             2819            117,078              0,669               
62         154             2252            105,734              0,687               
63         155             1581            62,625               0,404               
64         142             1491            38,656               0,272               
65         136             2820            120,828              0,888               
66         145             2658            119,609              0,825               
67         150             3114            140,188              0,935               
68         154             1896            91,281               0,593               
69         149             1377            62,313               0,418               
70         151             1182            44,719               0,296               
71         169             1757            76,906               0,455               
72         146             1572            79,125               0,542               
73         157             2057            93,578               0,596               
74         141             1544            62,063               0,440               
75         139             2793            116,813              0,840               
76         157             2153            82,969               0,528               
77         151             1795            80,625               0,534               
78         153             2190            96,672               0,632               
79         153             2285            97,781               0,639               
80         139             1993            94,266               0,678               
81         158             1757            104,000              0,658               
82         139             1860            92,156               0,663               
83         150             1573            101,359              0,676               
84         155             1875            84,906               0,548               
85         153             2277            111,375              0,728               
86         153             1985            100,781              0,659               
87         145             1880            83,844               0,578               
88         146             1680            62,984               0,431               
89         150             2457            105,313              0,702               
90         144             1449            80,766               0,561               
91         147             1967            91,500               0,622               
92         147             2776            113,641              0,773               
93         151             1734            71,281               0,472               
94         142             1833            77,625               0,547               
95         160             1622            78,719               0,492               
96         149             2810            115,781              0,777               
97         137             2100            100,516              0,734               
98         144             1676            91,734               0,637               
99         145             2032            91,672               0,632               

================================================================
