Generation,Individual,Instance,BaselineTime,BudgetPercentage,BudgetCalculated,TotalCalls,TotalTimeUsed,BudgetUtilization,AvgTimePerCall,MaxTimePerCall,MinTimePerCall
0,ec.gp.GPIndividual@2048156859{-454790288},3C_20_50-02.txt,0.301,0.750,0.226,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-02.txt,0.301,0.750,0.226,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-02.txt,0.301,0.750,0.226,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-02.txt,0.301,0.750,0.226,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-02.txt,0.301,0.750,0.226,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-01.txt,0.155,0.750,0.117,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-03.txt,0.637,0.750,0.478,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-03.txt,0.637,0.750,0.478,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_50-03.txt,0.637,0.750,0.478,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-01.txt,0.155,0.750,0.117,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-01.txt,0.155,0.750,0.117,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-01.txt,0.155,0.750,0.117,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_66-02.txt,0.318,0.750,0.239,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-01.txt,0.187,0.750,0.140,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-01.txt,0.187,0.750,0.140,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-01.txt,0.187,0.750,0.140,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-01.txt,0.187,0.750,0.140,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-01.txt,0.187,0.750,0.140,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-03.txt,0.724,0.750,0.543,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-03.txt,0.724,0.750,0.543,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-03.txt,0.724,0.750,0.543,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-03.txt,0.724,0.750,0.543,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-03.txt,0.724,0.750,0.543,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_40_66-01.txt,0.517,0.750,0.388,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},3C_20_80-02.txt,0.251,0.750,0.188,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CMT1y.txt,2.502,0.750,1.877,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-3.txt,1.553,0.750,1.165,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-3.txt,1.553,0.750,1.165,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-3.txt,1.553,0.750,1.165,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-3.txt,1.553,0.750,1.165,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},C101_20_08.txt,0.275,0.750,0.206,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-0.txt,1.489,0.750,1.117,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-0.txt,1.489,0.750,1.117,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-0.txt,1.489,0.750,1.117,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CMT1y.txt,2.502,0.750,1.877,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CMT1y.txt,2.502,0.750,1.877,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CMT1y.txt,2.502,0.750,1.877,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-06.txt,0.264,0.750,0.198,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-06.txt,0.264,0.750,0.198,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-06.txt,0.264,0.750,0.198,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},CON3-3.txt,1.553,0.750,1.165,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-16.txt,0.173,0.750,0.130,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-16.txt,0.173,0.750,0.130,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-01.txt,0.342,0.750,0.257,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-1-06.txt,0.861,0.750,0.646,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-01.txt,0.510,0.750,0.383,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-01.txt,0.510,0.750,0.383,1,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-16.txt,0.402,0.750,0.301,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},R121_15_120.txt,0.181,0.750,0.135,0,0.000,0.00,0.000,0.000,0.000
0,ec.gp.GPIndividual@803867181{-1978379705},Mitra-2-06.txt,0.264,0.750,0.198,0,0.000,0.00,0.000,0.000,0.000
