Gen;Standarized;Ajusted;Hits
0;0,6075422;0,6220677;0
1;0,6075422;0,6220677;0
2;0,6075422;0,6220677;0
3;0,6075422;0,6220677;0
4;0,4833383;0,6741551;0
5;0,3202564;0,7574286;0
6;0,2897047;0,7753713;0
7;0,2897047;0,7753713;0
8;0,2897047;0,7753713;0
9;0,2897047;0,7753713;0
10;0,2897047;0,7753713;0
11;0,2897047;0,7753713;0
12;0,2897047;0,7753713;0
13;0,2897047;0,7753713;0
14;0,2897047;0,7753713;0
15;0,2897047;0,7753713;0
16;0,2897047;0,7753713;0
17;0,2897047;0,7753713;0
18;0,2897047;0,7753713;0
19;0,2897047;0,7753713;0
20;0,2897047;0,7753713;0
21;0,2897047;0,7753713;0
22;0,2897047;0,7753713;0
23;0,2897047;0,7753713;0
24;0,2897047;0,7753713;0
25;0,2897047;0,7753713;0
26;0,2897047;0,7753713;0
27;0,2897047;0,7753713;0
28;0,2897047;0,7753713;0
29;0,2897047;0,7753713;0
30;0,2897047;0,7753713;0
31;0,2897047;0,7753713;0
32;0,2893536;0,7755824;0
33;0,2893536;0,7755824;0
34;0,2893536;0,7755824;0
35;0,2893536;0,7755824;0
36;0,2893536;0,7755824;0
37;0,2893536;0,7755824;0
38;0,2893536;0,7755824;0
39;0,2893536;0,7755824;0
40;0,2893536;0,7755824;0
41;0,2893536;0,7755824;0
42;0,2893536;0,7755824;0
43;0,2679634;0,7886663;0
44;0,2679634;0,7886663;0
45;0,2679634;0,7886663;0
46;0,2679634;0,7886663;0
47;0,2679634;0,7886663;0
48;0,2679634;0,7886663;0
49;0,2679634;0,7886663;0
50;0,2679634;0,7886663;0
51;0,2679634;0,7886663;0
52;0,2679634;0,7886663;0
53;0,2679634;0,7886663;0
54;0,2679634;0,7886663;0
55;0,2679634;0,7886663;0
56;0,2679634;0,7886663;0
57;0,2679634;0,7886663;0
58;0,2679634;0,7886663;0
59;0,2679634;0,7886663;0
60;0,2679634;0,7886663;0
61;0,2679634;0,7886663;0
62;0,2627308;0,7919344;0
63;0,2627308;0,7919344;0
64;0,2627308;0,7919344;0
65;0,2627308;0,7919344;0
66;0,2627308;0,7919344;0
67;0,2627308;0,7919344;0
68;0,2627308;0,7919344;0
69;0,2627308;0,7919344;0
70;0,2627308;0,7919344;0
71;0,2627308;0,7919344;0
72;0,2627308;0,7919344;0
73;0,2627308;0,7919344;0
74;0,2627308;0,7919344;0
75;0,2627308;0,7919344;0
76;0,2627308;0,7919344;0
77;0,2627308;0,7919344;0
78;0,2536212;0,7976892;0
79;0,2536212;0,7976892;0
80;0,2536212;0,7976892;0
81;0,2476722;0,8014926;0
82;0,2476722;0,8014926;0
83;0,2476722;0,8014926;0
84;0,2476722;0,8014926;0
85;0,2476722;0,8014926;0
86;0,2476722;0,8014926;0
87;0,2476722;0,8014926;0
88;0,2476722;0,8014926;0
89;0,2476722;0,8014926;0
90;0,2476722;0,8014926;0
91;0,2476722;0,8014926;0
92;0,2476722;0,8014926;0
93;0,2476722;0,8014926;0
94;0,2448948;0,8032808;0
95;0,2448948;0,8032808;0
96;0,2448948;0,8032808;0
97;0,2448948;0,8032808;0
98;0,2448948;0,8032808;0
99;0,2448948;0,8032808;0
