Gen;AvgSize;AvgERL;AvgERP;AvgFITNESS;BestSize;BestERL;BestERP;BestFITNESS;AvgHits;BestHits
1;6,0666667;0;0,9790852;0,9790853;6;0;0,6014732;0,6014733;0;0
2;3,7142857;0;0,7245238;0,7245237;9;0;0,4216169;0,4216169;0;0
3;6,5714286;0;0,5585137;0,5585138;16;0;0,2943581;0,2943581;0;0
4;8,0833333;0;0,5190232;0,5190231;16;0;0,2943581;0,2943581;0;0
5;13,3846154;0;0,3901704;0,3901704;21;0;0,2884616;0,2884616;0;0
6;12,6;0;0,4300573;0,4300573;21;0;0,2884616;0,2884616;0;0
7;15,6363636;0;0,6215579;0,621558;19;0;0,2877132;0,2877132;0,0909091;0
8;14,3333333;0;0,3999036;0,3999036;19;0;0,2877132;0,2877132;0;0
9;13,9;0;0,4354188;0,4354188;19;0;0,2877132;0,2877132;0;0
10;16,4166667;0;0,4157077;0,4157077;23;0;0,2852671;0,2852671;0,25;0
11;17;0;0,3851793;0,3851793;23;0;0,2852671;0,2852671;0;0
12;10,625;0;0,5516765;0,5516765;23;0;0,2852671;0,2852671;0;0
13;19,8;0;0,300611;0,300611;23;0;0,2852671;0,2852671;0;0
14;19,2727273;0;0,3248482;0,3248481;21;0;0,2852671;0,2852671;0;0
15;19,3;0;0,4280578;0,4280578;25;0;0,2806658;0,2806658;0;0
16;17,9230769;0;0,462053;0,462053;25;0;0,2806658;0,2806658;0;0
17;24,4285714;0;0,2880715;0,2880715;23;0;0,2806658;0,2806658;0;0
18;22,6666667;0;0,2972495;0,2972496;32;0;0,2781739;0,2781739;0;0
19;24,75;0;0,2864213;0,2864213;32;0;0,2781739;0,2781739;0;0
20;26,5;0;0,2920408;0,2920408;32;0;0,2651933;0,2651933;0;0
21;27,5384615;0;0,2955782;0,2955782;32;0;0,2651933;0,2651933;0;0
22;27,4545455;0;0,3353132;0,3353132;32;0;0,2651933;0,2651933;0;0
23;28,4166667;0;0,3335101;0,3335101;32;0;0,2651933;0,2651933;0;0
24;31,3636364;0;0,30291;0,30291;32;0;0,2651933;0,2651933;0;0
25;30,75;0;0,2926353;0,2926354;27;0;0,2651933;0,2651933;0;0
26;27;0;0,47439;0,47439;37;0;0,257402;0,257402;0;0
27;26,125;0;0,3069796;0,3069797;37;0;0,257402;0,257402;0;0
28;25,6;0;0,3754553;0,3754553;30;0;0,257402;0,257402;0;0
29;31;0;0,3053351;0,305335;30;0;0,257402;0,257402;0;0
30;33,7692308;0;0,2799527;0,2799526;39;0;0,2532411;0,2532411;0;0
31;32,75;0;0,3148472;0,3148472;32;0;0,2532411;0,2532411;0;0
32;33,7;0;0,2692797;0,2692797;32;0;0,2532411;0,2532411;0;0
33;32,5;0;0,2885735;0,2885735;32;0;0,2532411;0,2532411;0;0
34;35,4545455;0;0,2673458;0,2673458;32;0;0,2532411;0,2532411;0;0
35;37,9166667;0;0,2649282;0,2649282;32;0;0,2532411;0,2532411;0;0
36;38,1;0;0,255817;0,255817;32;0;0,2532411;0,2532411;0;0
37;36,2727273;0;0,3155984;0,3155985;32;0;0,2532411;0,2532411;0,1818182;0
38;34,2727273;0;0,2790899;0,2790899;41;0;0,2501267;0,2501267;0;0
39;38,1666667;0;0,263511;0,263511;50;0;0,2479739;0,2479739;0;0
40;40;0;0,2648958;0,2648958;50;0;0,2479739;0,2479739;0;0
41;40;0;0,2528122;0,2528122;41;0;0,24283;0,24283;0;0
42;39,125;0;0,3129981;0,3129981;48;0;0,2328636;0,2328636;0;0
43;35,6363636;0;0,4769532;0,4769532;48;0;0,2328636;0,2328636;0,0909091;0
44;39,1818182;0;0,2990036;0,2990036;46;0;0,2324949;0,2324949;0;0
45;39,0909091;0;0,4014363;0,4014363;46;0;0,2324949;0,2324949;0,1818182;0
46;47;0;0,2340306;0,2340306;44;0;0,2324949;0,2324949;0;0
47;44,5454545;0;0,241154;0,241154;44;0;0,2324949;0,2324949;0;0
48;39,8181818;0;0,3146902;0,3146901;37;0;0,2324949;0,2324949;0;0
49;35,875;0;0,2887702;0,2887702;37;0;0,2324949;0,2324949;0;0
50;35,7777778;0;0,323545;0,323545;37;0;0,2324949;0,2324949;0;0
51;33,6666667;0;0,3353597;0,3353596;37;0;0,2324949;0,2324949;0;0
52;37,5;0;0,2685517;0,2685516;35;0;0,2324949;0,2324949;0;0
53;33,3333333;0;0,3658713;0,3658713;35;0;0,2324949;0,2324949;0;0
54;38;0;0,2697699;0,2697698;33;0;0,2324949;0,2324949;0;0
55;38,0769231;0;0,2402675;0,2402675;33;0;0,2324949;0,2324949;0;0
56;27,875;0;0,3894032;0,3894032;33;0;0,2324949;0,2324949;0;0
57;31,2222222;0;0,3495137;0,3495137;33;0;0,2324949;0,2324949;0;0
58;34,4545455;0;0,3243396;0,3243396;33;0;0,2324949;0,2324949;0;0
59;30,3333333;0;0,3761807;0,3761807;33;0;0,2324949;0,2324949;0;0
60;36;0;0,3075589;0,3075589;33;0;0,2324949;0,2324949;0;0
61;35,3;0;0,2724015;0,2724015;33;0;0,2324949;0,2324949;0;0
62;33,2222222;0;0,3319067;0,3319066;33;0;0,2324949;0,2324949;0;0
63;39,6363636;0;0,2667406;0,2667406;33;0;0,2324949;0,2324949;0;0
